ID,Target
ID_AAcismbB,0.12717292
ID_AAeBMsji,0.2275329
ID_AAjFMjzy,0.63505477
ID_AAmMOEEC,0.4060256
ID_ABguzDxp,0.2955262
ID_ABomWihE,0.27019623
ID_ACDBDjVC,0.2641687
ID_AEnEBaEk,0.4615907
ID_AFDiXCWE,0.12637661
ID_AFFdlZrY,0.23950478
ID_AFFhrAEa,0.497221
ID_AFTYARrX,0.28728542
ID_AFxizGWn,0.27301833
ID_AGXURqVa,0.43058336
ID_AGcfrBss,0.2294723
ID_AGhyJnjs,0.28284732
ID_AHHszlce,0.25489995
ID_AHfEgdxI,0.57128847
ID_AHxMZjLk,0.24303775
ID_AIRMTzvW,0.23437925
ID_AIhXjNzB,0.24662244
ID_AInNJcPZ,0.66892743
ID_AJeUKOax,0.29866636
ID_AJtmZTPv,0.24279341
ID_AJvMJUgh,0.299922
ID_AKDNaIeF,0.4427102
ID_AKtFUCOh,0.2206133
ID_ALMWkcWZ,0.25252438
ID_ALsuDzjy,0.44758824
ID_AMDeLpAe,0.4222943
ID_AMFLUESH,0.23418468
ID_AMPzBaLI,0.57183623
ID_AMQunDcB,0.5557971
ID_AMoeaBNL,0.54120696
ID_AMqLADVZ,0.27291274
ID_ANjdaLZT,0.62380093
ID_ANmZqeaJ,0.25837016
ID_AOSShqiH,0.62182295
ID_AOtbKdTz,0.17913698
ID_APPZTAvk,0.6041513
ID_APXZieOd,0.44535622
ID_APYmHMeT,0.23237987
ID_APqxpzOM,0.46170646
ID_AQXRdQFe,0.12499396
ID_AQahPNSl,0.24459922
ID_ASJBnAcz,0.21578223
ID_ASScpzpo,0.21207637
ID_ASYEmqFR,0.6650118
ID_ASYmdsAQ,0.43988892
ID_ASizsGwc,0.23949617
ID_ATGMmtfy,0.58927244
ID_ATfXaLki,0.23683265
ID_ATvhCiLv,0.24576686
ID_AUYDTXht,0.32223406
ID_AUgbYLcu,0.2582428
ID_AUikRRXA,0.23271266
ID_AWFsJxKf,0.41852987
ID_AWMJnaEH,0.5642994
ID_AWUFocya,0.42718083
ID_AWkhcJQd,0.124093354
ID_AXFMbyYb,0.61364496
ID_AXpXAnqG,0.48982823
ID_AYFCJcwy,0.2427266
ID_AYbBsLeO,0.12371314
ID_AYhMSkOo,0.22596052
ID_AYozseeP,0.5414711
ID_AZTpltEK,0.22884989
ID_AZeXIEjC,0.5889385
ID_AZlhigno,0.4618858
ID_AaddtiNV,0.2887782
ID_AapjoJOp,0.2464964
ID_AaqhgzQg,0.2453424
ID_AbPvdDjY,0.2628296
ID_AbjgpquZ,0.23540044
ID_AcJsYVfw,0.58061653
ID_AchxBBpV,0.4958525
ID_AdMKbZwG,0.68144476
ID_AdMOWPrw,0.2376196
ID_AdTMVZkN,0.42462364
ID_AddSOaGc,0.6000816
ID_AdnsVRpz,0.26277515
ID_AdpiQTym,0.6301527
ID_AekyIxSO,0.23370166
