ID,Target
ID_AAeBMsji,0.411713
ID_AAjFMjzy,0.55689424
ID_AAmMOEEC,0.46643347
ID_ABguzDxp,0.42700756
ID_ABomWihE,0.41687122
ID_ACDBDjVC,0.41477942
ID_AEnEBaEk,0.48564723
ID_AFDiXCWE,0.36016738
ID_AFFdlZrY,0.3969622
ID_AFFhrAEa,0.4946651
ID_AFTYARrX,0.4186401
ID_AFxizGWn,0.41681767
ID_AGXURqVa,0.46827066
ID_AGcfrBss,0.40054736
ID_AGhyJnjs,0.41696644
ID_AHHszlce,0.41211417
ID_AHfEgdxI,0.5144685
ID_AHxMZjLk,0.40047178
ID_AIRMTzvW,0.39851567
ID_AIhXjNzB,0.40182248
ID_AInNJcPZ,0.55965465
ID_AJeUKOax,0.42503563
ID_AJtmZTPv,0.39609128
ID_AJvMJUgh,0.42295614
ID_AKDNaIeF,0.48908702
ID_AKtFUCOh,0.39723745
ID_ALMWkcWZ,0.4013029
ID_ALsuDzjy,0.48654225
ID_AMDeLpAe,0.47783738
ID_AMFLUESH,0.39941028
ID_AMPzBaLI,0.51857364
ID_AMQunDcB,0.51973087
ID_AMoeaBNL,0.51264447
ID_AMqLADVZ,0.4123661
ID_ANjdaLZT,0.54607856
ID_ANmZqeaJ,0.4080131
ID_AOSShqiH,0.53542227
ID_AOtbKdTz,0.37939322
ID_APPZTAvk,0.53933525
ID_APXZieOd,0.48231402
ID_APYmHMeT,0.4021684
ID_APqxpzOM,0.47031072
ID_AQXRdQFe,0.36130953
ID_AQahPNSl,0.40096432
ID_ASJBnAcz,0.39209926
ID_ASScpzpo,0.39168212
ID_ASYEmqFR,0.56153244
ID_ASYmdsAQ,0.4831194
ID_ASizsGwc,0.40157533
ID_ATGMmtfy,0.5342111
ID_ATfXaLki,0.40312758
ID_ATvhCiLv,0.40537763
ID_AUYDTXht,0.42373735
ID_AUgbYLcu,0.40193996
ID_AUikRRXA,0.39742735
ID_AWFsJxKf,0.4705028
ID_AWMJnaEH,0.5256627
ID_AWUFocya,0.45887068
ID_AWkhcJQd,0.3648453
ID_AXFMbyYb,0.544244
ID_AXpXAnqG,0.49182382
ID_AYFCJcwy,0.40106162
ID_AYbBsLeO,0.36130953
ID_AYhMSkOo,0.40453854
ID_AYozseeP,0.52527875
ID_AZTpltEK,0.4011687
ID_AZeXIEjC,0.5341078
ID_AZlhigno,0.4766767
ID_AaddtiNV,0.4168561
ID_AapjoJOp,0.4066956
ID_AaqhgzQg,0.40398675
ID_AbPvdDjY,0.40527073
ID_AbjgpquZ,0.3977927
ID_AcJsYVfw,0.53473294
ID_AchxBBpV,0.49484593
ID_AdMKbZwG,0.5685054
ID_AdMOWPrw,0.39781174
ID_AdTMVZkN,0.47964272
ID_AddSOaGc,0.53418016
ID_AdnsVRpz,0.4098492
ID_AdpiQTym,0.5308271
ID_AekyIxSO,0.39870813
ID_AfJwBDUJ,0.55879813
ID_AfNuECWg,0.5159222
ID_AfVscPmP,0.39835405
ID_AfhrbWzR,0.42913648
ID_AfwryFhH,0.566746
ID_AgUAucCP,0.45764267
ID_AglMAZoh,0.48903367
ID_AhnGcQio,0.44328597
ID_AjJPPHAL,0.566746
ID_AjKmTFMY,0.4888242
ID_AjiMKkPT,0.5646317
ID_AkVcUTjP,0.40731344
ID_AkxtjnJa,0.5282829
ID_AlJhLJRt,0.40101334
ID_AlVKVicY,0.49278677
ID_AllHLvcz,0.45500222
ID_AltrReMt,0.52124196
ID_AmQJHfYo,0.4130479
ID_AmpezFVR,0.36177084
ID_AmtsBLns,0.53028286
ID_AnEcIkfL,0.40659475
ID_AnPYWNBM,0.5653495
ID_AngLjjUp,0.37944666
ID_AoGJYJXv,0.40829325
ID_AoUZroQf,0.41493207
ID_AoexKjgK,0.40719467
ID_ApKXUhZD,0.40449864
ID_AphFNCOm,0.5025803
ID_AppOiOze,0.42737913
ID_ArNAYuzY,0.44576275
ID_ArqJHIiA,0.3965651
ID_ArqnMNZq,0.53698784
ID_AsTClwPW,0.40083963
ID_AskSIyih,0.422437
ID_AtsAxWos,0.51591456
ID_AuRfiVsE,0.40063322
ID_AvXZLrZz,0.40128866
ID_AvyadwXB,0.40316224
ID_AwHoEELL,0.4042451
ID_AwIqEAPg,0.42168495
ID_AwbVNQCH,0.4264217
ID_AwjmYsgR,0.36030397
ID_AxiRuHUW,0.39266422
ID_AxpIjGor,0.41632918
ID_AyBgznlu,0.49993145
ID_AycBTAkj,0.4433903
ID_AytNtCJi,0.45232537
ID_AyugJuAH,0.54660326
ID_AzLBUveg,0.55932295
ID_AzoYzxAX,0.5613697
ID_AzyCgstS,0.40061685
ID_BACWTtes,0.47636557
ID_BAgxLKbX,0.39596245
ID_BCLimyhl,0.5111965
ID_BENSZKZu,0.5152362
ID_BFOASLhf,0.4780945
ID_BGGIQkSh,0.43175295
