ID,Target
ID_AAcismbB,0.18733969920886773
ID_AAeBMsji,0.2599852168289191
ID_AAjFMjzy,0.6720348401679371
ID_AAmMOEEC,0.3719496572450045
ID_ABguzDxp,0.23824917820780633
ID_ABomWihE,0.28289163452856664
ID_ACDBDjVC,0.2505132705726816
ID_AEnEBaEk,0.4219780913646117
ID_AFDiXCWE,0.19252639543252953
ID_AFFdlZrY,0.2337239973520323
ID_AFFhrAEa,0.47229235416672244
ID_AFTYARrX,0.23698725575155266
ID_AFxizGWn,0.24446811648819222
ID_AGXURqVa,0.43027809525639005
ID_AGcfrBss,0.1721680142820717
ID_AGhyJnjs,0.3519176324757198
ID_AHHszlce,0.23061499399210167
ID_AHfEgdxI,0.5428646319214537
ID_AHxMZjLk,0.20179429384561712
ID_AIRMTzvW,0.15431276864360793
ID_AIhXjNzB,0.21301670733620207
ID_AInNJcPZ,0.6708864161972499
ID_AJeUKOax,0.26355036842607243
ID_AJtmZTPv,0.2212500140281407
ID_AJvMJUgh,0.2974801711107036
ID_AKDNaIeF,0.42750392335806964
ID_AKtFUCOh,0.1633163826760766
ID_ALMWkcWZ,0.2049499847503745
ID_ALsuDzjy,0.48463286221893914
ID_AMDeLpAe,0.4211175114152488
ID_AMFLUESH,0.1930657529234958
ID_AMPzBaLI,0.5486941458775244
ID_AMQunDcB,0.5669827033509174
ID_AMoeaBNL,0.511829816355517
ID_AMqLADVZ,0.2578448213918331
ID_ANjdaLZT,0.6350513578765856
ID_ANmZqeaJ,0.25255856350064443
ID_AOSShqiH,0.6597625914308939
ID_AOtbKdTz,0.24894444241045377
ID_APPZTAvk,0.6289215047437063
ID_APXZieOd,0.4262447154524633
ID_APYmHMeT,0.16630324714268052
ID_APqxpzOM,0.41626539648399813
ID_AQXRdQFe,0.19015356303080985
ID_AQahPNSl,0.2576532831868253
ID_ASJBnAcz,0.21969174899283267
ID_ASScpzpo,0.16608501506013756
ID_ASYEmqFR,0.680936867077459
ID_ASYmdsAQ,0.43534900941687205
ID_ASizsGwc,0.22596038610087554
ID_ATGMmtfy,0.6293346640377169
ID_ATfXaLki,0.22794058282033053
ID_ATvhCiLv,0.22101831097068733
ID_AUYDTXht,0.2861856068087614
ID_AUgbYLcu,0.23729336092887685
ID_AUikRRXA,0.22208996670027123
ID_AWFsJxKf,0.36256817440579625
ID_AWMJnaEH,0.5900256636030928
ID_AWUFocya,0.3876064416948723
ID_AWkhcJQd,0.17965953465291856
ID_AXFMbyYb,0.6579724034618429
ID_AXpXAnqG,0.4362147802852169
ID_AYFCJcwy,0.2155857775388795
ID_AYbBsLeO,0.1668306344324651
ID_AYhMSkOo,0.2054821487347461
ID_AYozseeP,0.5363411449778714
ID_AZTpltEK,0.2016769498083909
ID_AZeXIEjC,0.6126016034054468
ID_AZlhigno,0.44299771886244277
ID_AaddtiNV,0.33623169524237534
ID_AapjoJOp,0.19520824677676696
ID_AaqhgzQg,0.16655986668979547
ID_AbPvdDjY,0.28601977608907175
ID_AbjgpquZ,0.18901162044965314
ID_AcJsYVfw,0.5596535234363719
ID_AchxBBpV,0.4819667494245614
ID_AdMKbZwG,0.7350595846008677
ID_AdMOWPrw,0.1874890224459665
ID_AdTMVZkN,0.40393994122527455
ID_AddSOaGc,0.6178002372492256
